,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E,B25140C_004E,B25140F_001E,B25140F_005E,B25140E_005E,B25140G_003E,B25140A_007E,B25140G_008E,B25140B_007E,B25140A_004E,B25140E_001E,B25140A_001E,B25140G_005E,B25140_004E,B25140_005E,B25140I_001E,B25140B_003E,B25140G_004E,B25140A_005E,B25140I_005E,B25140B_005E,B25140D_005E,B25140C_003E,B25140D_004E,B25140D_003E,B25140E_007E,B25140E_009E,B25140H_009E,B25140F_003E,B25140_008E,B25140_009E,B25140E_008E,B25140C_009E,B25140_007E,B25140H_001E,B25140C_008E,B25140D_007E,B25140G_009E,B25140C_005E,B25140H_004E,B25140G_007E,B25140A_003E,B25140_003E,B25140A_008E,B25140H_005E,B25140C_007E,B25140F_004E,B25140_001E,B25140F_007E,B25140A_009E,B25140G_001E,B25140H_007E,B25140B_001E,B25140I_007E,B25140E_003E,B25140F_008E,B25140H_008E,B25140C_001E,B25140E_004E,B25140F_009E,B25140D_001E,B25140D_009E,B25140H_003E,B25140B_009E,B25140B_004E,B25140I_009E,B25140B_008E,B25140D_008E,B25140I_003E,B25140I_008E,B25140I_004E
20,06,011700,0,0,17,0,15,0,14,0,0,0,0,0,0,13,128,26,0,0,15,17,11,73,0,67,0,0,0,15,0,0,17,0,579,0,17,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,563,0,0,0,0,17,0,30,30,15,0,0,0,1111,0,0,60,15,45,0,0,0,15,0,0,0,360,0,30,0,0,0,0,0,0,0,0
21,06,011800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,75,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,61,0,4,0,0,0,0,0,0,0,0,0,0,716,0,0,16,0,8,0,0,0,0,0,0,0,612,0,0,0,0,0,0,4,0,0,0
22,06,011901,30,14,21,25,0,12,9,6,8,0,0,0,0,9,212,24,0,0,31,7,16,112,0,59,0,0,0,23,0,0,21,11,660,0,21,12,188,0,0,12,0,0,0,0,0,7,0,0,0,0,31,0,0,0,31,584,0,8,0,0,21,0,28,35,23,12,0,0,1217,0,0,118,23,14,0,0,0,23,0,0,0,355,0,28,0,0,0,0,8,0,0,0
23,06,011902,0,0,14,0,0,0,0,0,0,0,0,11,0,34,86,14,0,0,0,13,0,72,0,153,0,0,18,0,0,0,2,0,903,0,14,0,177,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,851,0,0,0,0,2,0,18,59,0,0,0,0,1678,0,0,124,0,52,0,0,0,0,9,0,0,437,0,18,0,12,0,0,0,0,0,0
24,06,012001,0,0,0,36,11,0,0,0,0,0,0,0,0,25,94,0,0,0,0,22,0,94,0,96,0,0,0,0,0,0,0,0,558,0,0,0,70,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,25,0,0,0,0,1004,0,0,188,0,8,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
25,06,012002,0,0,12,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,152,0,12,24,0,108,0,0,0,0,152,0,0,0,464,0,12,0,353,0,0,0,0,0,0,0,12,12,0,0,0,0,152,0,0,0,152,416,0,0,0,0,0,152,0,12,0,0,0,0,1359,0,0,235,0,76,152,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,152,0
26,06,012100,0,0,0,0,64,37,15,0,0,0,0,0,0,0,147,0,0,0,0,31,0,132,0,122,0,0,0,0,0,0,0,0,1246,0,0,37,317,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,233,0,13,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0
27,06,012202,0,0,0,0,0,0,0,60,14,0,26,9,0,0,178,0,0,0,0,69,0,92,0,107,0,0,9,26,0,0,0,0,558,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,532,0,0,0,0,0,0,0,9,0,0,0,0,1488,0,0,159,26,200,0,0,0,0,32,0,0,432,0,0,0,0,0,0,0,9,0,0
28,06,012203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,554,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,1081,0,0,136,0,122,0,0,0,0,38,0,0,199,0,0,0,0,0,0,0,0,0,0
29,06,012204,0,0,0,0,18,0,0,12,0,0,10,148,0,0,219,0,0,0,31,0,0,166,0,44,0,0,0,41,0,0,0,0,948,0,0,0,263,0,0,0,0,0,0,0,0,129,0,0,0,0,31,0,0,0,41,835,0,0,0,0,0,0,19,148,31,0,0,0,1566,0,0,142,41,0,0,0,0,31,18,0,0,414,0,19,0,0,0,0,0,0,0,0
30,06,012301,17,0,0,0,0,0,0,11,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,27,500,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,0,84,0,222,0,0,0,0,21,0,0,342,0,0,0,0,0,0,0,0,0,0
31,06,012302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,856,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1886,0,0,108,0,173,0,0,0,0,38,0,0,557,0,0,0,0,0,0,0,0,0,0
