,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E
79,06,020900,0,59,31,24,0,0,11,16,13,0,0,0,0,15,169,0,0,0,0,0,0,142
80,06,021000,30,0,41,142,43,0,0,23,50,0,0,29,0,45,663,16,0,14,0,91,139,580
81,06,021100,0,61,71,210,77,0,18,193,58,0,0,0,0,91,1004,19,0,0,15,82,109,759
82,06,021200,28,21,157,85,64,0,0,126,53,0,0,25,0,47,894,20,9,10,0,95,154,701
83,06,021300,14,79,134,91,13,0,11,110,73,0,0,50,0,12,701,0,0,0,0,23,91,566
84,06,021400,8,18,63,83,30,0,11,130,26,0,0,63,0,51,668,34,32,0,9,68,42,444
85,06,021500,0,49,106,116,15,0,18,101,116,9,13,101,0,189,1103,39,0,12,18,109,92,893
86,06,021600,52,90,254,83,37,0,40,96,44,17,0,190,17,114,1431,50,15,11,0,160,161,1133
87,06,021700,12,24,196,79,50,0,40,248,99,0,0,45,23,118,1289,25,12,10,17,153,138,902
88,06,021800,0,28,202,135,8,0,53,179,80,9,48,67,7,62,1224,47,0,0,31,143,125,850
89,06,022600,0,112,26,63,11,0,10,0,53,0,0,81,0,0,481,0,0,0,0,75,50,471
90,06,022702,0,41,66,126,43,0,8,34,25,0,0,9,0,9,464,25,0,0,9,34,35,388
91,06,022704,10,122,94,183,0,0,11,68,22,0,0,15,0,38,749,9,0,23,6,65,83,622
92,06,022801,11,9,154,66,45,11,0,35,65,23,8,45,0,62,659,23,0,0,23,33,46,536
93,06,022802,0,0,12,19,7,0,0,66,18,7,0,0,0,11,165,0,0,0,0,25,0,92
94,06,022803,0,43,124,30,7,0,9,0,39,0,0,2,0,47,397,0,9,0,0,39,48,379
95,06,022901,0,0,171,20,24,11,0,34,11,0,0,44,0,11,425,11,0,0,11,34,43,369
96,06,022902,12,49,34,27,0,11,62,10,0,0,17,4,0,38,326,8,0,0,0,40,14,217
97,06,022903,0,39,29,73,0,0,13,49,21,0,11,20,0,23,391,8,6,0,0,55,44,304
98,06,023001,38,51,216,41,0,0,31,195,29,15,0,58,0,31,792,34,0,0,7,15,31,472
99,06,023003,23,119,136,77,38,7,10,110,31,0,0,17,0,19,822,36,0,10,10,107,72,623
100,06,023102,0,21,62,58,62,0,0,79,8,0,0,22,0,19,374,0,19,10,0,14,0,266
101,06,023103,0,66,12,30,0,0,14,21,0,0,0,19,0,0,196,0,12,0,8,0,14,141
102,06,023200,0,20,201,16,0,0,0,111,22,0,0,28,0,59,676,66,12,0,0,61,80,487
103,06,023300,0,48,62,0,24,0,15,65,0,0,0,21,0,32,400,21,0,0,0,36,76,299
104,06,023400,0,13,152,0,0,10,20,114,17,0,0,19,7,0,478,47,0,0,0,8,71,290
105,06,025100,9,67,186,36,43,0,16,116,0,0,7,35,13,82,840,48,0,0,25,106,51,606
106,06,025200,0,70,185,205,47,0,53,137,80,0,0,96,0,116,1343,40,14,0,14,129,157,1085
107,06,025300,0,59,116,85,36,0,9,74,117,0,0,25,0,80,874,32,0,0,11,128,102,748
108,06,025401,0,43,78,75,32,0,0,35,45,0,0,100,0,28,560,11,0,0,12,40,61,502
109,06,025402,6,32,141,146,60,0,0,72,60,0,0,41,7,68,822,34,14,0,0,99,42,689
110,06,025403,0,37,161,94,0,0,11,46,12,0,11,21,0,61,605,33,0,10,0,40,68,494
111,06,025500,20,17,208,203,36,0,16,235,30,0,7,71,0,176,1471,77,76,21,54,69,155,965
112,06,025600,30,52,157,20,32,0,86,228,101,8,6,61,0,129,1186,59,11,0,45,112,49,713
113,06,025701,48,58,219,16,30,0,15,155,29,0,0,35,0,141,868,0,0,0,10,14,98,640
114,06,025702,0,33,120,29,26,0,39,141,43,0,0,26,23,11,655,27,38,0,0,0,99,387
115,06,025800,22,61,71,29,23,0,9,35,25,0,0,18,0,26,377,12,0,11,0,35,0,288
116,06,025900,16,83,155,59,43,0,44,187,51,0,0,32,0,84,974,38,13,8,18,70,73,650
117,06,026001,10,123,150,62,11,0,21,77,62,0,0,35,0,29,802,25,8,0,32,107,50,629
118,06,026002,17,33,214,45,19,0,22,160,0,0,0,9,0,43,754,31,0,0,11,45,105,513
119,06,026003,0,101,264,72,10,12,40,164,26,0,0,99,0,46,979,10,9,0,0,37,89,756
120,06,026004,8,180,120,134,0,5,0,71,46,3,0,26,0,31,850,23,0,0,2,130,71,743
121,06,026100,22,101,125,103,56,0,26,206,49,0,0,63,0,100,1086,65,10,0,0,71,89,757
