,year,label,Category,Attribute
131,2010,ACS5YR,Housing Prices,Rent 100 to 149
132,2010,ACS5YR,Housing Prices,Rent 1000 to 1249
133,2010,ACS5YR,Housing Prices,Rent 1250 to 1499
134,2010,ACS5YR,Housing Prices,Rent 150 to 199
135,2010,ACS5YR,Housing Prices,Rent 1500 to 1999
136,2010,ACS5YR,Housing Prices,Rent 200 to 249
137,2010,ACS5YR,Housing Prices,"Rent 2000 to 2499  (Rent 2000 or more, DEC2000 and ACS2009-2014)"
138,2010,ACS5YR,Housing Prices,Rent 250 to 299
139,2010,ACS5YR,Housing Prices,Rent 2500 to 2999 (ACS2015-)
140,2010,ACS5YR,Housing Prices,Rent 300 to 349
141,2010,ACS5YR,Housing Prices,Rent 3000 to 3499 (ACS2015-)
142,2010,ACS5YR,Housing Prices,Rent 350 to 399
143,2010,ACS5YR,Housing Prices,Rent 3500 or more (ACS2015-)
144,2010,ACS5YR,Housing Prices,Rent 400 to 449
145,2010,ACS5YR,Housing Prices,Rent 450 to 499
146,2010,ACS5YR,Housing Prices,Rent 500 to 549
147,2010,ACS5YR,Housing Prices,Rent 550 to 599
148,2010,ACS5YR,Housing Prices,Rent 600 to 649
149,2010,ACS5YR,Housing Prices,Rent 650 to 699
150,2010,ACS5YR,Housing Prices,Rent 700 to 749
151,2010,ACS5YR,Housing Prices,Rent 750 to 799
152,2010,ACS5YR,Housing Prices,Rent 800 to 899
153,2010,ACS5YR,Housing Prices,Rent 900 to 999
154,2010,ACS5YR,Housing Prices,Rent Burdened
155,2010,ACS5YR,Housing Prices,Rent Less than 100
156,2010,ACS5YR,Housing Prices,Rent Total
157,2010,ACS5YR,Housing Prices,"Rent Total No cash rent  (No cash rent, DEC2000 and ACS2009-2014)"
158,2010,ACS5YR,Housing Prices,Rent Total No cash rent (ACS2015-)
159,2010,ACS5YR,Housing Prices,Rent Total With cash rent
160,2010,ACS5YR,Housing Type,10-19 Units
161,2010,ACS5YR,Housing Type,2-4 Units
162,2010,ACS5YR,Housing Type,20 Units or More
163,2010,ACS5YR,Housing Type,5-9 Units
164,2010,ACS5YR,Housing Type,Other Type
165,2010,ACS5YR,Housing Type,Single Family Housing
166,2010,ACS5YR,Income,Household Income 10000 to 14999
167,2010,ACS5YR,Income,Household Income 100000 to 124999
168,2010,ACS5YR,Income,Household Income 125000 to 149999
169,2010,ACS5YR,Income,Household Income 15000 to 19999
170,2010,ACS5YR,Income,Household Income 150000 to 199999
171,2010,ACS5YR,Income,Household Income 20000 to 24999
172,2010,ACS5YR,Income,Household Income 25000 to 29999
173,2010,ACS5YR,Income,Household Income 30000 to 34999
174,2010,ACS5YR,Income,Household Income 35000 to 39999
175,2010,ACS5YR,Income,Household Income 40000 to 44999
176,2010,ACS5YR,Income,Household Income 45000 to 49999
177,2010,ACS5YR,Income,Household Income 50000 to 59999
178,2010,ACS5YR,Income,Household Income 60000 to 74999
179,2010,ACS5YR,Income,Household Income 75000 to 99999
