,year,label,Category,Attribute,030101,030102,030201,030202,030301,030302
165,2000,DEC_SF3,Housing Prices,Rent Burdened,0.4142670157068063,0.3919523099850969,0.3160112359550562,0.3632130384167636,0.3733567046450482,0.4250764525993883
166,2000,DEC_SF3,Housing Prices,Rent Less than 100,0.0,0.0,9.0,0.0,0.0,0.0
167,2000,DEC_SF3,Housing Prices,Rent Total,1528.0,1342.0,1424.0,1718.0,1141.0,327.0
168,2000,DEC_SF3,Housing Prices,"Rent Total No cash rent  (No cash rent, DEC2000 and ACS2009-2014)",9.0,18.0,32.0,25.0,6.0,20.0
169,2000,DEC_SF3,Housing Prices,Rent Total No cash rent (ACS2015-),9.0,18.0,32.0,25.0,6.0,20.0
170,2000,DEC_SF3,Housing Prices,Rent Total With cash rent,1519.0,1324.0,1392.0,1693.0,1135.0,307.0
171,2000,DEC_SF3,Housing Type,10-19 Units,0.1439358187824445,0.1654589371980676,0.1073475768629494,0.1398190045248868,0.0303151176705225,0.0144157814871016
172,2000,DEC_SF3,Housing Type,2-4 Units,0.4535158093440302,0.1859903381642512,0.3944762897342366,0.4384615384615384,0.3402473075388911,0.1191198786039453
173,2000,DEC_SF3,Housing Type,20 Units or More,0.0627654554034922,0.1570048309178744,0.1464304325169359,0.0705882352941176,0.0023932987634623,0.0
174,2000,DEC_SF3,Housing Type,5-9 Units,0.2161396885323265,0.0877616747181964,0.1511203751954142,0.188235294117647,0.0434782608695652,0.007587253414264
175,2000,DEC_SF3,Housing Type,Other Type,0.0,0.0040257648953301,0.0,0.0,0.0,0.0
176,2000,DEC_SF3,Housing Type,Single Family Housing,0.1236432279377064,0.3997584541062802,0.2006253256904638,0.1628959276018099,0.5835660151575588,0.858877086494689
177,2000,DEC_SF3,Income,Household Income 10000 to 14999,112.0,91.0,100.0,116.0,77.0,31.0
178,2000,DEC_SF3,Income,Household Income 100000 to 124999,207.0,157.0,175.0,174.0,258.0,151.0
179,2000,DEC_SF3,Income,Household Income 125000 to 149999,138.0,101.0,72.0,143.0,151.0,64.0
180,2000,DEC_SF3,Income,Household Income 15000 to 19999,105.0,70.0,80.0,42.0,81.0,48.0
181,2000,DEC_SF3,Income,Household Income 150000 to 199999,67.0,226.0,44.0,110.0,211.0,142.0
