,year,label,Category,Attribute,017700,020100,020101,020102,020200,020201,020202,020700,020701,020702,020800,020801,020802,020900,021000,022801,022802,022803,022901,022902,022903
35,2000,DEC_SF3,Households,Average Family Household Size,3.7732342007434942,4.063917525773196,INACTIVE,INACTIVE,3.2426829268292683,INACTIVE,INACTIVE,3.070441988950276,INACTIVE,INACTIVE,4.468275245755138,INACTIVE,INACTIVE,4.073546856465006,3.0804911323328787,4.887218045112782,3.929260450160772,4.475923852183651,4.89410348977136,4.970654627539504,4.355648535564853
36,2000,DEC_SF3,Households,Average Household Size,2.51,2.5368191721132898,INACTIVE,INACTIVE,1.9724435590969456,INACTIVE,INACTIVE,1.9321120689655171,INACTIVE,INACTIVE,3.039132284134411,INACTIVE,INACTIVE,2.8268471517202483,2.0568181818181817,3.440665154950869,2.7979966611018363,3.492871690427698,3.843871975019516,3.866844207723036,3.463971880492092
37,2000,DEC_SF3,Households,Family Households,0.3842857142857143,0.4226579520697168,INACTIVE,INACTIVE,0.2722443559096945,INACTIVE,INACTIVE,0.2600574712643678,INACTIVE,INACTIVE,0.4759676733304976,INACTIVE,INACTIVE,0.4754653130287648,0.3331818181818182,0.5026455026455027,0.5191986644407346,0.606245756958588,0.6487119437939111,0.5898801597869507,0.6300527240773286
38,2000,DEC_SF3,Households,Households,700.0,2295.0,INACTIVE,INACTIVE,3012.0,INACTIVE,INACTIVE,2784.0,INACTIVE,INACTIVE,2351.0,INACTIVE,INACTIVE,1773.0,2200.0,1323.0,599.0,1473.0,1281.0,751.0,1138.0
39,2000,DEC_SF3,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.1814285714285714,0.2261437908496732,INACTIVE,INACTIVE,0.2181274900398406,INACTIVE,INACTIVE,0.1354166666666666,INACTIVE,INACTIVE,0.2743513398553807,INACTIVE,INACTIVE,0.2267343485617597,0.114090909090909,0.1307634164777022,0.335559265442404,0.2803801765105227,0.1842310694769711,0.1531291611185086,0.2214411247803163
40,2000,DEC_SF3,Households,"Households with Children, % of Total",0.1171428571428571,0.2074074074074074,INACTIVE,INACTIVE,0.1178618857901726,INACTIVE,INACTIVE,0.0926724137931034,INACTIVE,INACTIVE,0.2258613356018715,INACTIVE,INACTIVE,0.1985335589396503,0.1504545454545454,0.3008314436885865,0.2504173622704507,0.3279022403258655,0.3442622950819672,0.3501997336884154,0.3664323374340949
41,2000,DEC_SF3,Households,Living in Group Quarters,5.0,518.0,INACTIVE,INACTIVE,247.0,INACTIVE,INACTIVE,48.0,INACTIVE,INACTIVE,226.0,INACTIVE,INACTIVE,80.0,34.0,69.0,141.0,33.0,34.0,28.0,0.0
42,2000,DEC_SF3,Households,Non-Family Households,0.6157142857142858,0.5773420479302832,INACTIVE,INACTIVE,0.7277556440903055,INACTIVE,INACTIVE,0.7399425287356322,INACTIVE,INACTIVE,0.5240323266695024,INACTIVE,INACTIVE,0.5245346869712352,0.6668181818181819,0.4973544973544973,0.4808013355592654,0.3937542430414121,0.351288056206089,0.4101198402130492,0.3699472759226713
43,2000,DEC_SF3,Households,"Single Person Households, % of Total",0.3071428571428571,0.4305010893246187,INACTIVE,INACTIVE,0.4641434262948207,INACTIVE,INACTIVE,0.4335488505747126,INACTIVE,INACTIVE,0.3049766056997022,INACTIVE,INACTIVE,0.3186689227298364,0.4304545454545455,0.2328042328042328,0.2671118530884808,0.1887304820095044,0.156128024980484,0.1637816245006657,0.1739894551845342
44,2000,DEC_SF3,Housing,Built 1939 or earlier,0.6353276353276354,0.5045379537953796,INACTIVE,INACTIVE,0.5639961698052984,INACTIVE,INACTIVE,0.6818340917045852,INACTIVE,INACTIVE,0.5380189066995479,INACTIVE,INACTIVE,0.6238279095421952,0.6214912280701754,0.6438455935906774,0.5912636505460218,0.656578947368421,0.6293169608595549,0.6382978723404256,0.5806729939603106
