,Category,Attribute,2000_Bayview Hunters Point,2010_Bayview Hunters Point,2011_Bayview Hunters Point,2012_Bayview Hunters Point,2013_Bayview Hunters Point,2014_Bayview Hunters Point,2015_Bayview Hunters Point,2016_Bayview Hunters Point,2017_Bayview Hunters Point,2018_Bayview Hunters Point,2019_Bayview Hunters Point,2020_Bayview Hunters Point,2021_Bayview Hunters Point,2022_Bayview Hunters Point,2023_Bayview Hunters Point,2024_Bayview Hunters Point
14,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.2136268967569176,0.0086990905496243,0.0042553191489361,0.0017182130584192,0.0037484381507705,0.0034934497816593,0.0066494274104174,0.0033758439609902,0.0039463299131807,0.0019372336303758,0.0024519820187985,0.002507312996239,0.0020383204239706,0.004220893422441,0.0065659881812212,0.0186232125041569
15,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.4552216602201726,0.6955318307631475,0.6825531914893617,0.6932989690721649,0.7334443981674302,0.7646288209606987,0.7606206132249723,0.7378094523630908,0.7300710339384373,0.731886865555986,0.6943195749897834,0.7312996239030506,0.7089278434569914,0.6774533943017939,0.6408404464871963,0.7306285334220153
231,Employment,Employed Residents,12167.0,14160.0,14640.0,14705.0,15808.0,16048.0,16526.0,17057.0,17224.0,17940.0,17977.0,22100.0,17285.0,17966.0,17352.0,16337.0
232,Employment,Managerial Professional,0.2367058436755157,0.2236581920903954,0.2511612021857923,0.257599455967358,0.2665106275303643,0.2628364905284147,0.2643712937189882,0.277070997244533,0.2792034370645611,0.3729654403567447,0.3008288368470824,0.586289592760181,0.3358403239803297,0.3316820661249026,0.3521784232365145,0.3591234620799412
233,Employment,Natural Resources,0.0766006410783266,0.1213983050847457,0.0961748633879781,0.0958177490649438,0.1010247975708502,0.0840603190428713,0.0901004477792569,0.0976138828633405,0.0920227589410125,0.0559643255295429,0.0795460866662958,0.0250226244343891,0.0669366502748047,0.0630079038183235,0.0583218072844628,0.0686172491889575
234,Employment,Production Transport Materials,0.1779403304019068,0.1365819209039548,0.1418032786885246,0.149336960217613,0.1360070850202429,0.1473703888334995,0.1311267094275686,0.1217681890133083,0.1236646539712029,0.1198439241917502,0.1405685041998108,0.0541628959276018,0.11293028637547,0.1132138483802738,0.1153181189488243,0.1004468384648344
235,Employment,Sales and Office,0.276978712911975,0.2406779661016949,0.2371584699453552,0.2330499829989799,0.2246963562753036,0.2356056829511465,0.2576546048650611,0.2451193058568329,0.2433232698560148,0.2029542920847268,0.2092673972297936,0.1860633484162896,0.2015620480185131,0.2048313481019704,0.2002650991240203,0.20615780130991
236,Employment,Services,0.2304594394674118,0.277683615819209,0.2737021857923497,0.264195851751105,0.2717611336032389,0.2701271186440678,0.256746944209125,0.2584276250219851,0.2617858801672085,0.2482720178372352,0.2697891750570173,0.1484615384615384,0.2827306913508822,0.2872648335745296,0.273916551406178,0.2656546489563567
16,Employment,"Under 6 Years, Living with One Parent",1237.0,1354.0,1565.0,1908.0,2003.0,1985.0,1744.0,1891.0,1637.0,1487.0,1366.0,1494.0,1364.0,1428.0,1120.0,935.0
17,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",0.3152789005658852,0.3382570162481536,0.2984025559105431,0.240041928721174,0.1587618572141787,0.1360201511335012,0.1410550458715596,0.1094658910629296,0.1490531459987782,0.1936785474108944,0.267203513909224,0.4377510040160642,0.4054252199413489,0.392156862745098,0.3919642857142857,0.4374331550802139
18,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",0.6847210994341147,0.6617429837518464,0.7015974440894569,0.759958071278826,0.8412381427858213,0.8639798488664987,0.8589449541284404,0.8905341089370703,0.8509468540012217,0.8063214525891056,0.732796486090776,0.5622489959839357,0.594574780058651,0.6078431372549019,0.6080357142857142,0.5625668449197861
19,Employment,"Under 6 Years, Living with Two Parents",1261.0,1567.0,1581.0,1534.0,1389.0,1377.0,1325.0,1167.0,1141.0,964.0,1021.0,957.0,966.0,1168.0,1147.0,1050.0
20,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",0.3560666137985726,0.6368857689853222,0.5313092979127134,0.5730117340286832,0.4197264218862491,0.4676833696441539,0.4196226415094339,0.4121679520137103,0.4198071866783523,0.4221991701244813,0.3192948090107737,0.3207941483803553,0.3799171842650103,0.2996575342465753,0.2737576285963383,0.2619047619047619
21,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",0.1792228390166534,0.0,0.0,0.0,0.0,0.0021786492374727,0.0030188679245283,0.0059982862039417,0.0052585451358457,0.0062240663900414,0.0,0.0,0.0662525879917184,0.0676369863013698,0.0985178727114211,0.0952380952380952
22,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",0.464710547184774,0.3631142310146777,0.4686907020872865,0.4269882659713168,0.5802735781137509,0.5301379811183733,0.5773584905660377,0.5818337617823479,0.574934268185802,0.5715767634854771,0.6807051909892262,0.6792058516196448,0.5538302277432712,0.6327054794520548,0.6277244986922407,0.6428571428571429
237,Employment,Unemployment Rate,0.095121225643314,0.1322997732704209,0.1399870763085237,0.1649156681242546,0.1585670942673125,0.1393328327791483,0.1233356320619595,0.1172695751177353,0.1023129818712231,0.0853807727597104,0.0724040195825818,0.039163696427019,0.0920679886685552,0.0894259512590566,0.1014635155401561,0.1136474543187117
